onObjectDelivered (Sum),roomName,player_id
63,"'-",132
1,Q39JTS,1
2,X6123Y,1
1,X6123Y,2
1,QO1YBR,1
1,UFUUKT,4
1,N0QM0U,1
1,N0QM0U,2
1,N0QM0U,4
1,653HM1,2
1,653HM1,4
1,653HM1,3
2,77Q9ZY,1
1,77Q9ZY,4
1,G8NS4D,1
1,G8NS4D,3
1,VZTW7A,4
1,OQ4YQI,2
1,OQ4YQI,4
1,OQ4YQI,3
1,YXLOHW,2
1,YXLOHW,3
1,D6BIPG,1
1,D6BIPG,2
1,D6BIPG,4
2,5UU3DU,1
1,5UU3DU,3
1,IUINZN,3
1,M9KT7M,3
1,5CE1X4,2
2,5CE1X4,4
2,X1CW2M,2
1,X1CW2M,4
1,KYR9S0,3
1,OOSU9T,1
1,OOSU9T,2
1,6E57EA,1
1,60WBFR,3
1,BG161B,2
2,BG161B,4
1,8ZBXIE,3
1,OQF7VE,4
1,X8D3C8,1
1,X8D3C8,3
1,AKCK83,4
2,ZCZJKD,1
1,ZCZJKD,2
1,YGJ3I3,4
1,1MW466,2
1,2B45FG,2
2,2B45FG,4
2,N0543F,4
3,93Y7CZ,1